Sample in Buffer,Sample in Window,TRIGGER,ila_out[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,255
1,1,0,255
2,2,0,255
3,3,0,255
4,4,0,255
5,5,0,255
6,6,0,255
7,7,0,255
8,8,0,255
9,9,0,255
10,10,0,254
11,11,0,255
12,12,0,222
13,13,0,51
14,14,0,60
15,15,0,72
16,16,0,46
17,17,0,43
18,18,0,28
19,19,0,77
20,20,0,83
21,21,0,70
22,22,0,42
23,23,0,40
24,24,0,27
25,25,0,27
26,26,0,23
27,27,0,56
28,28,0,227
29,29,0,255
30,30,0,254
31,31,0,255
32,32,0,255
33,33,0,255
34,34,0,255
35,35,0,255
36,36,0,255
37,37,0,255
38,38,0,255
39,39,0,255
40,40,0,255
41,41,0,254
42,42,0,255
43,43,0,242
44,44,0,67
45,45,0,35
46,46,0,41
47,47,0,56
48,48,0,227
49,49,0,213
50,50,0,44
51,51,0,76
52,52,0,69
53,53,0,57
54,54,0,230
55,55,0,228
56,56,0,38
57,57,0,17
58,58,0,22
59,59,0,17
60,60,0,50
61,61,0,241
62,62,0,255
63,63,0,254
64,64,0,255
65,65,0,255
66,66,0,255
67,67,0,255
68,68,0,255
69,69,0,255
70,70,0,255
71,71,0,255
72,72,0,255
73,73,0,255
74,74,0,255
75,75,0,254
76,76,0,237
77,77,0,239
78,78,0,237
79,79,0,243
80,80,0,239
81,81,0,62
82,82,0,73
83,83,0,69
84,84,0,58
85,85,0,224
86,86,0,255
87,87,0,238
88,88,0,37
89,89,0,35
90,90,0,41
91,91,0,19
92,92,0,49
93,93,0,241
94,94,0,255
95,95,0,254
96,96,0,255
97,97,0,255
98,98,0,255
99,99,0,255
100,100,0,255
101,101,0,255
102,102,0,255
103,103,0,255
104,104,0,255
105,105,0,255
106,106,0,255
107,107,0,255
108,108,0,255
109,109,0,255
110,110,0,254
111,111,0,255
112,112,0,237
113,113,0,36
114,114,0,60
115,115,0,60
116,116,0,225
117,117,0,255
118,118,0,255
119,119,0,236
120,120,0,67
121,121,0,226
122,122,0,227
123,123,0,66
124,124,0,224
125,125,0,255
126,126,0,254
127,127,0,255
128,128,0,255
129,129,0,255
130,130,0,255
131,131,0,255
132,132,0,255
133,133,0,255
134,134,0,255
135,135,0,255
136,136,0,255
137,137,0,255
138,138,0,255
139,139,0,255
140,140,0,254
141,141,0,254
142,142,0,253
143,143,0,255
144,144,0,241
145,145,0,52
146,146,0,52
147,147,0,227
148,148,0,255
149,149,0,253
150,150,0,255
151,151,0,254
152,152,0,241
153,153,0,254
154,154,0,254
155,155,0,241
156,156,0,254
157,157,0,255
158,158,0,255
159,159,0,255
160,160,0,255
161,161,0,255
162,162,0,255
163,163,0,255
164,164,0,255
165,165,0,255
166,166,0,255
167,167,0,255
168,168,0,255
169,169,0,255
170,170,0,255
171,171,0,255
172,172,0,255
173,173,0,255
174,174,0,255
175,175,0,255
176,176,0,254
177,177,0,240
178,178,0,239
179,179,0,254
180,180,0,254
181,181,0,255
182,182,0,255
183,183,0,255
184,184,0,255
185,185,0,254
186,186,0,254
187,187,0,255
188,188,0,254
189,189,0,255
190,190,0,255
191,191,0,255
192,192,0,255
193,193,0,255
194,194,0,255
195,195,0,255
196,196,0,255
197,197,0,255
198,198,0,255
199,199,0,255
200,200,0,255
201,201,0,255
202,202,0,255
203,203,0,255
204,204,0,255
205,205,0,255
206,206,0,255
207,207,0,255
208,208,0,255
209,209,0,255
210,210,0,255
211,211,0,254
212,212,0,255
213,213,0,255
214,214,0,255
215,215,0,255
216,216,0,254
217,217,0,255
218,218,0,255
219,219,0,254
220,220,0,255
221,221,0,255
222,222,0,255
223,223,0,255
224,224,0,255
225,225,0,255
226,226,0,255
227,227,0,255
228,228,0,255
229,229,0,255
230,230,0,255
231,231,0,255
232,232,0,255
233,233,0,255
234,234,0,255
235,235,0,255
236,236,0,255
237,237,0,255
238,238,0,255
239,239,0,255
240,240,0,255
241,241,0,254
242,242,0,254
243,243,0,255
244,244,0,255
245,245,0,255
246,246,0,255
247,247,0,255
248,248,0,255
249,249,0,255
250,250,0,255
251,251,0,255
252,252,0,255
