Sample in Buffer,Sample in Window,TRIGGER,ila_out_r[15:0],ila_out_g[15:0],ila_out_b[15:0],capture_active_r,capture_active_g,capture_active_b,final_output_size_r[15:0],final_output_size_g[15:0],final_output_size_b[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
0,0,1,163,215,385,1,1,1,250,194,208
1,1,0,160,219,232,1,1,1,250,194,208
2,2,0,160,210,172,1,1,1,250,194,208
3,3,0,0,216,170,0,1,1,250,194,208
4,4,0,19,218,182,1,1,1,250,194,208
5,5,0,15,219,248,1,1,1,250,194,208
6,6,0,16,222,246,1,1,1,250,194,208
7,7,0,18,225,250,1,1,1,250,194,208
8,8,0,19,213,247,1,1,1,250,194,208
9,9,0,20,283,358,1,1,1,250,194,208
10,10,0,19,266,357,1,1,1,250,194,208
11,11,0,16,266,372,1,1,1,250,194,208
12,12,0,15,283,419,1,1,1,250,194,208
13,13,0,14,220,357,1,1,1,250,194,208
14,14,0,258,219,411,1,1,1,250,194,208
15,15,0,20,235,386,1,1,1,250,194,208
16,16,0,30,273,0,1,1,0,250,194,208
17,17,0,24,215,70,1,1,1,250,194,208
18,18,0,24,221,69,1,1,1,250,194,208
19,19,0,22,226,69,1,1,1,250,194,208
20,20,0,26,101,68,1,1,1,250,194,208
21,21,0,31,129,69,1,1,1,250,194,208
22,22,0,46,252,70,1,1,1,250,194,208
23,23,0,50,112,71,1,1,1,250,194,208
24,24,0,44,95,256,1,1,1,250,194,208
25,25,0,32,223,257,1,1,1,250,194,208
26,26,0,23,218,69,1,1,1,250,194,208
27,27,0,15,239,71,1,1,1,250,194,208
28,28,0,25,220,79,1,1,1,250,194,208
29,29,0,34,220,76,1,1,1,250,194,208
30,30,0,36,236,68,1,1,1,250,194,208
31,31,0,268,219,72,1,1,1,250,194,208
32,32,0,18,220,77,1,1,1,250,194,208
33,33,0,16,217,69,1,1,1,250,194,208
34,34,0,60,212,60,1,1,1,250,194,208
35,35,0,17,100,69,1,1,1,250,194,208
36,36,0,23,41,77,1,1,1,250,194,208
37,37,0,19,63,73,1,1,1,250,194,208
38,38,0,18,31,257,1,1,1,250,194,208
39,39,0,17,41,256,1,1,1,250,194,208
40,40,0,17,40,66,1,1,1,250,194,208
41,41,0,14,108,65,1,1,1,250,194,208
42,42,0,23,211,66,1,1,1,250,194,208
43,43,0,32,219,68,1,1,1,250,194,208
44,44,0,33,212,68,1,1,1,250,194,208
45,45,0,31,229,281,1,1,1,250,194,208
46,46,0,34,225,281,1,1,1,250,194,208
47,47,0,41,294,282,1,1,1,250,194,208
48,48,0,52,219,259,1,1,1,250,194,208
49,49,0,19,213,70,1,1,1,250,194,208
50,50,0,41,53,77,1,1,1,250,194,208
51,51,0,54,40,74,1,1,1,250,194,208
52,52,0,55,54,73,1,1,1,250,194,208
53,53,0,68,32,71,1,1,1,250,194,208
54,54,0,85,49,67,1,1,1,250,194,208
55,55,0,30,63,68,1,1,1,250,194,208
56,56,0,18,140,71,1,1,1,250,194,208
